JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 28824.000,   359.765,   343.398,     3.070,     0.003,     0.000,     0.000,     0.250,    36.878,   669.700,     1.000,     0.000,     3.146,   -94.476,     0.000,   253.934,   317.354,    16.490,    14.566,     0.000,         0.000,
 28825.000,     7.400,   343.419,     3.163,     0.003,     0.000,     0.000,     0.250,    36.899,   669.700,     1.000,     0.000,     3.302,   -81.378,     0.000,   257.916,   316.130,    13.233,     9.932,     0.000,         0.000,
 28826.000,   674.618,   343.489,     3.230,     0.003,     0.000,     0.000,     0.250,    36.969,   669.700,     1.000,     0.000,     3.272,   -60.228,     0.000,   273.384,   321.002,     9.383,     3.227,     0.000,         0.000,
 28827.000,   744.397,   343.663,     3.064,     0.002,     0.000,     0.000,     0.250,    37.143,   683.800,     1.000,     0.000,     3.091,   -24.778,     0.000,   274.341,   320.528,    -3.991,   -17.418,     0.000,         0.000,
 28828.000,   638.709,   343.860,     2.455,     0.000,     0.000,     0.000,     0.250,    37.340,   683.800,     1.000,     0.000,     2.846,  -122.019,     0.000,   254.432,   317.134,    37.507,    21.810,     0.000,         0.000,
 28829.000,   896.866,   343.993,     2.235,     0.000,     0.000,     0.000,     0.250,    37.473,   683.800,     1.000,     0.000,     2.632,  -174.716,     0.000,   209.354,   315.834,    32.122,    36.114,     0.000,         0.000,
 28830.000,   900.080,   344.068,     2.585,     0.000,     0.000,     0.000,     0.250,    37.548,   683.800,     1.000,     0.000,     2.877,  -144.407,     0.000,   236.550,   314.664,    35.037,    31.256,     0.000,         0.000,
 28831.000,   700.125,   344.104,     2.956,     0.003,     0.000,     0.000,     0.250,    37.584,   683.800,     1.000,     0.000,     2.996,  -145.760,     0.000,   241.697,   317.594,    41.427,    28.436,     0.000,         0.000,
 28832.000,   682.325,   344.105,     1.754,     0.000,     0.000,     0.000,     0.250,    37.585,   683.800,     1.000,     0.000,     2.739,  -173.253,     0.000,   218.624,   311.312,    35.840,    44.726,     0.000,         0.000,
 28833.000,   110.874,   344.075,     2.947,     0.003,     0.000,     0.000,     0.250,    37.555,   683.800,     1.000,     0.000,     2.913,  -153.375,     0.000,   233.454,   314.845,    34.103,    37.880,     0.000,         0.000,
