datetime,sim_total_release_mgd,sim_inflow_mgd,sim_storage_mg,obs_inflow_mgd,obs_release_mgd,obs_storage_mg
6/3/1998,482.6005674823977,482.64270000000005,95700,406.2914598,135.6457974,
6/4/1998,387.7894737,283.73460000000006,95595.90346075111,237.7031116,137.5835945,
6/5/1998,122.8,226.23344,95699.29264954384,189.258184,137.5835945,
6/6/1998,122.8,192.53735,95698.92029,159.54529503333202,132.4161356,
6/7/1998,169.6357441567213,170.75851,95700,140.8132563,132.4161356,
6/8/1998,387.7894737,160.01575,95472.18728375819,131.5118302380016,132.4161356,
6/9/1998,122.8,151.87003,95501.21595,124.5357606575968,132.4161356,
6/10/1998,122.8,134.5923,95512.97162853403,110.1314688,132.4161356,
6/11/1998,122.8,121.8634,95511.99155,99.47358476,134.3539327,
6/12/1998,122.8,169.94421,95515.33531344488,138.8754592,137.5835945,
6/13/1998,316.35628035110057,574.4856999999998,95700,478.6358851,137.5835945,
6/14/1998,1052.0212234955013,1052.0609000000002,95700,894.6163305,184.7366574,
6/15/1998,2199.436129437393,2199.4766,95700,1911.313878557204,628.4921946,
6/16/1998,1554.137267117222,1554.1769000000002,95700,1359.687636,1130.381645,
6/17/1998,1444.2932308375837,1444.3342000000002,95700,1266.673374738316,1285.405413,
6/18/1998,1648.2818319050348,1648.3237000000001,95700,1441.075114248436,1492.103771,
6/19/1998,1270.0843131374688,1270.1260000000002,95700,1108.419944442096,1543.778361,
6/20/1998,969.4736842,950.7059299999999,95681.19086915081,826.7934318,1446.888506,
6/21/1998,613.6767577624457,746.8932499999999,95700,644.6405038188881,1091.625703,
6/22/1998,969.4736842,589.6163299999998,95320.10055463639,505.1191122,820.3341081,
6/23/1998,387.7894737,551.1908599999999,95483.45747603828,469.5928319,671.7696633,
6/24/1998,389.07476392223305,605.6618999999998,95700,514.8080977,558.7314988,
6/25/1998,969.4736842,463.79318000000006,95194.27846358204,393.3728125,498.6597885,
6/26/1998,387.7894737,377.41342000000003,95183.86083364046,319.0905901,407.5833246,
6/27/1998,387.7894737,359.41864000000004,95155.44872797371,302.2963485,315.8609282,
6/28/1998,387.7894737,317.57074000000006,95085.18782041546,266.1241358,261.6026093,
6/29/1998,387.7894737,302.78980000000007,95000.14561761913,253.2054885,229.9519232,
6/30/1998,562.2470354431146,1262.1459000000002,95700,1074.831461277184,326.1958461,
7/1/1998,1317.549116621458,1317.5908000000002,95700,1112.295538653432,1007.654495,
7/2/1998,969.4736842,946.6504999999999,95677.13434,810.6451225,1311.242708,
7/3/1998,438.80293666599175,686.7619999999998,95700,592.319982,1194.974882,
7/4/1998,969.4736842,574.4601999999999,95304.94405094176,491.5545325,936.6019344,
7/5/1998,387.7894737035999,803.9441999999999,95478.95015705352,686.6261078,833.2527554,
7/6/1998,387.7894737035999,567.4618499999999,95303.22551621284,483.803344,781.5781659527601,
7/7/1998,387.7894737035999,452.37476000000004,95073.89346882644,384.9756917,612.9898178,
7/8/1998,1511.3525590557988,2457.03,95700,2129.639019129132,671.7696633,
7/9/1998,3648.7588697081906,4098.4824,95700,3625.618384704828,2325.356527,
7/10/1998,2017.3246078213444,2017.8156000000001,95700,1795.691985,2667.700682,
7/11/1998,1344.259497904165,1344.3014000000003,95700,1191.74522,2034.686961,
7/12/1998,1022.3862682290554,1022.4278999999999,95700,892.6785333,1505.022419,
7/13/1998,969.4736842,796.1673599999999,95526.65864780857,688.5639049,1123.922321,
7/14/1998,476.6305798147275,650.0069599999999,95700,558.0855664,788.0374896,
7/15/1998,969.4736842,542.0393999999999,95272.52785565023,462.4875759,556.7937017,
7/16/1998,387.78947370359987,466.48224000000005,95351.18559395279,395.9565419,445.0474019,
7/17/1998,387.78947370359987,411.98550000000006,95230.53472,348.1575467,329.425508,
7/18/1998,387.78947370360004,350.74133000000006,95015.56613970964,295.1910924,273.8753243,
7/19/1998,387.78947370360015,292.1284800000001,94730.03903724957,244.8083677,260.9566769,
7/20/1998,387.7894737035999,260.88007000000005,94467.72677066746,217.6792082,237.7031116,
7/21/1998,387.7894737035999,237.7679,94232.55230317794,197.6553048,232.5356527,
7/22/1998,387.7894737035999,214.30019,93982.55700586845,177.6314014,226.076329,
7/23/1998,387.7894737,191.46541,93786.18869953774,158.25343029622002,207.9902227,
7/24/1998,387.7894737035999,187.20113,93585.55700047039,154.37783608488402,186.0285221,
7/25/1998,387.7894737035995,163.32355,93361.05209447962,134.3539327,153.0859713,
7/26/1998,387.7894737035999,144.67896,93117.90655278218,118.7223693405928,151.7941066,
7/27/1998,387.7894737035999,130.31291,92860.39496108475,106.5788408,156.9615656,
7/28/1998,387.7894737035999,119.8343,92592.40475938731,97.72956736,179.5691985,
7/29/1998,387.7894737035999,110.445076,92315.02533368987,89.84919247,188.6122516,
7/30/1998,387.7894737035999,104.06938,92031.27021199244,84.48795380712481,187.3203869,
7/31/1998,387.7894737035999,95.82928,91739.27499,77.6410707,419.8560396,
8/1/1998,387.78947370360055,89.137314,91440.57832253221,70.79418759,485.7411412,
8/2/1998,387.7894737036006,80.94482,91133.68527438145,64.78701657,253.2054885,
8/3/1998,387.78947370360083,74.63832,90820.48268883498,60.07171028,277.7509185,
8/4/1998,387.7894737036007,69.725334,90502.36227514238,56.002336353805205,399.8321361,
8/5/1998,387.7894737036006,65.6624,90180.16976971163,52.64348804,576.8176051,
8/6/1998,190.5589407971629,62.459255,89813.14780880397,49.99516533,572.9420109,
8/7/1998,309.5849266979485,60.03851,89353.02609136976,47.99277498,603.3008322,
8/8/1998,292.0841879907375,55.996185,88878.51587,44.6985199,665.3103396,
8/9/1998,138.9578946915999,50.907543,88536.65073155703,40.56455275,619.4491414,
8/10/1998,199.4962432943712,48.48663,88161.55897,38.5621624,542.5831896,
8/11/1998,225.4465321,57.328506,87766.23627909536,45.60282522,634.3055859,
8/12/1998,246.82813712042207,68.907425,87350.41070952994,54.96884456,658.8510159,
8/13/1998,207.28928295813967,55.649147,86959.03973,44.44014696,623.3247357,
8/14/1998,262.26379464304773,49.15493,86518.75265332984,39.20809477,678.228987,
8/15/1998,225.1864261396986,48.42251,86102.75989952957,38.49756917,671.7696633,
8/16/1998,138.9578946916008,46.710064,85766.69717321842,37.07651796,710.5256054,
8/17/1998,138.9578946916008,45.11777,85447.60838006914,35.78465322,697.606958,
8/18/1998,169.40672596977674,50.394142,85102.27879329477,39.98321361,625.9084651307641,
8/19/1998,206.09219090195256,50.441708,84717.57835800388,40.04780685,587.7984554,
8/20/1998,232.37556995304476,48.379513,84300.86741263328,38.43297593,536.1238659,
8/21/1998,225.18095437252487,43.39205,83883.95342,34.42819524,486.3870735,
8/22/1998,225.52630492388562,40.942005,83465.02657903824,32.4258049,586.5065906,
8/23/1998,242.4059895089158,38.49199,83028.54895065233,30.42341456,458.6119817,
8/24/1998,138.9578946916008,36.82937,82680.69064715465,29.06695659,652.3916922,
8/25/1998,138.9578946916008,35.19063,82329.09760672518,27.73633590579464,485.0952088,
8/26/1998,138.9578946916008,32.74518,81973.18853615226,25.77270151,566.4826872,
8/27/1998,138.9578946916008,31.124846,81615.84626278844,24.46145879721572,645.9323686,
8/28/1998,138.9578946916008,30.302103,81259.52669747703,23.78322981023192,612.3438854,
8/29/1998,165.37969212782627,28.656616,80876.71122276834,22.46552777837768,665.3103396,
8/30/1998,201.07685279700672,28.63665,80477.16512135182,22.43323115994988,645.9323686,
8/31/1998,172.70717234711265,29.632454,80091.57747293262,23.20835000221708,665.3103396,
9/1/1998,116.33684209880084,28.10019,79778.14204456632,22.58179560471776,652.3916922,
9/2/1998,155.21206395962872,33.19782,79444.58305645922,26.67700682,691.1476344,
9/3/1998,186.4845065,37.701138,79083.62931,30.29422809,671.7696633,
9/4/1998,200.11433176263017,34.728275,78702.62769230355,27.90427832,671.7696633,
9/5/1998,116.33684209880084,30.065107,78390.56961,24.15787058,710.5256054,
9/6/1998,116.33684209880084,27.98933,78087.76296814924,22.49136507311992,736.3629002,
9/7/1998,116.33684209880084,37.941555,77795.96316512844,30.488007795843203,217.0332758,
9/8/1998,116.33684209880084,51.45274,77521.58460626492,41.33967159,158.2534303,
9/9/1998,116.33684209880084,70.76145,77246.89301186125,56.84204843,174.4017395,
9/10/1998,134.58400399960374,64.897865,76986.24082065378,52.12674214,275.8131214,
9/11/1998,116.33684209880084,52.83531,76773.97086870015,42.43775661,755.7408712,
9/12/1998,269.3375286027622,43.019844,76420.72988,34.55738172,742.8222238,
9/13/1998,248.88463550701636,37.145382,75939.76107788213,29.84207543,534.8320012,
9/14/1998,218.8178947513843,34.569305,75481.4531,27.77509185,534.1860688,
9/15/1998,232.75782282906948,32.155464,75044.21511782648,25.83729474,523.2052185,
9/16/1998,232.31282406574974,37.863228,74616.26327998392,30.42341456,552.2721751,
9/17/1998,215.19501086505988,36.577446,74194.92080296672,29.38992277,544.5209867,
9/18/1998,105.74582428096254,33.92493,73864.96050453423,27.25834595,755.7408712,
9/19/1998,213.79329210183278,32.155228,73452.40537,25.83729474,807.4154607,
9/20/1998,248.56925255586611,29.734245,72991.83198587128,23.89303831288644,618.8032091,
9/21/1998,236.29425656339663,29.685162,72534.48262720785,23.85428237077308,624.6166004,
9/22/1998,220.51033160092993,31.429298,72002.53445598844,25.25595561,629.138127,
9/23/1998,214.03076582747963,30.54527,71538.31754441865,24.54543001,547.7506485,
9/24/1998,68.29327198848112,30.545452,71245.11399806874,24.54543001,521.2674214,
9/25/1998,94.70068627978252,28.881018,70946.88162029158,23.20835000221708,742.8222238,
9/26/1998,264.50930775187953,27.216473,70468.13198430453,21.87126999930616,736.3629002,
9/27/1998,326.88529227875915,30.624578,69916.56144136845,24.61002324,481.8655469,
9/28/1998,274.24639073022627,39.630016,69444.59421,31.844465769810803,339.7604259,
9/29/1998,113.89459167397216,32.476795,68984.86037450416,26.09566769,131.7702032,
9/30/1998,226.18158176788347,29.904242,68459.61211918764,24.02868411,263.5404064,
10/1/1998,233.88996939634308,29.906052,68059.08310563583,24.02868411,386.2675564,
10/2/1998,209.80684821815157,28.295631,67675.86033829537,22.73681937,729.9035765,
10/3/1998,70.35732668,27.489569,67418.63104519465,22.090887,716.9849291,
10/4/1998,124.58075539947822,26.524345,67131.30585,21.31576816,507.0569093,
10/5/1998,268.45127578053143,25.800451,66711.15446791002,20.73442903,513.516233,
10/6/1998,73.05718253326995,24.996197,66441.63858300488,20.08849666,527.7267451,
10/7/1998,38.77894740720148,24.19199,66192.82274361108,19.44256429,395.9565419,
10/8/1998,38.77894740720148,70.74848,66039.64450269572,56.84204843,248.6839619,
10/9/1998,38.77894740720148,111.789024,65894.80785254326,89.78459923,52.32052185,
10/10/1998,38.77894740720148,133.53937,65758.65116569072,107.2247732,35.52628027,
10/11/1998,77.77717084611868,176.20755,65628.69249224136,141.4591887,34.23441553,
10/12/1998,38.77894740720148,135.98232,65454.527637118204,109.1625703,34.23441553,
10/13/1998,38.77894740720148,95.4236,65254.03843605077,76.60757891074161,34.23441553,
10/14/1998,38.77894740720148,145.6224,65102.642886253554,116.9137587,36.17221264,
10/15/1998,38.785033922464216,146.4295,64960.19179550655,117.5596911,34.8803479,
10/16/1998,87.40023333029603,112.64118,64730.29137407932,90.4305316,34.8803479,
10/17/1998,38.77894740720148,93.323074,64518.03205966411,74.92815475,123.3730824,
10/18/1998,38.77894740720148,79.63581,64273.90735240006,63.94730449,246.1002324,
10/19/1998,38.77894740720148,70.05626,64021.09227903668,56.2607093,322.3202519,
10/20/1998,48.547810380925505,63.1338,63711.65369982999,50.70569093,353.3250056,
