$bth_SHA.csv                                                         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Seg#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1,0,0,0,0,0,0,0,0,0,339.2,383.2,421,478.3,517,778.9,967.3,920.1,1144.7,869.8,578.2,452.1,786.2,643,446.9,537.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.4,87.1,90.8,258.1,363.2,362.1,364.2,539.6,545.3,405.9,541.4,426.1,291.3,0
1,0,0,0,0,0,0,0,0,0,251.4,368.6,407.4,470,497.9,744.8,935.5,905,1106.4,857.4,562.6,439.6,775.6,636.4,437.8,524.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.8,101.2,307.9,345.6,290.7,505.3,504,389.2,525.5,419.1,285.1,0
1,0,0,0,0,0,0,0,0,0,177.2,356.9,395.4,460.7,468.9,674.5,909.6,891.2,1064.5,844.2,546.7,428.6,765.3,629.2,428.9,509.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,204,328.9,273.7,474.2,486.5,369.1,509,412.4,278.2,0
1,0,0,0,0,0,0,0,0,0,90.3,342.4,379.4,449.9,427.4,591,882.9,878.9,1018.3,829.7,530.8,416.7,753.9,615.8,419.3,497.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1,274.1,263.7,442,472.4,333.3,485.7,405.1,271.2,0
1,0,0,0,0,0,0,0,0,0,0,303.7,365.6,434.4,385.9,542.9,853.5,866.2,969.5,813.3,515.1,405.1,740.3,599.4,409.9,469.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.9,240.7,404.1,459.1,303.5,445.3,397.2,263.5,0
1,0,0,0,0,0,0,0,0,0,0,170.4,352,420.6,335.2,498,816.4,853.6,919.7,784.6,499.6,392.2,722.5,585.1,401,442.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.2,345.4,442.4,290.9,400.9,387.8,257.6,0
1,0,0,0,0,0,0,0,0,0,0,81.2,335.6,408.1,284.9,411.4,772,840.8,874.2,751.6,485.7,379.2,706.7,570.7,390.4,413.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.5,419.4,281.2,354,378.8,251,0
1,0,0,0,0,0,0,0,0,0,0,0,286.9,395.7,251.8,342.6,704.7,828.7,833.7,709.5,471.8,365.7,695.8,558.7,368.2,381.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.5,308.1,274.6,316.1,370.3,244.8,0
1,0,0,0,0,0,0,0,0,0,0,0,200,378.5,229.4,314.1,641.8,812.8,793.2,665.6,459.8,351.8,686.3,545.3,346,366.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.3,267.2,279.2,360.2,239.6,0
1,0,0,0,0,0,0,0,0,0,0,0,106.9,275.9,204.1,291,575,790.1,757.5,627.8,448,338.4,675.2,534.5,333.2,356.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.8,205.1,234.6,339.3,232.8,0
